State_Full,total_state_population
Mississippi,2988081.0
Missouri,6045448.0
Montana,1014699.0
Nebraska,1869365.0
Nevada,2798636.0
New Hampshire,1324201.0
New Jersey,8904413.0
New Mexico,2084117.0
New York,19673174.0
North Carolina,9845333.0
North Dakota,721640.0
Ohio,11575977.0
Oklahoma,3849733.0
Oregon,3939233.0
Pennsylvania,12779559.0
Rhode Island,1053661.0
South Carolina,4777576.0
South Dakota,843190.0
Tennessee,6499615.0
Texas,26538614.0
Vermont,626604.0
Utah,2903379.0
Virginia,8256630.0
Washington,6985464.0
West Virginia,1851420.0
Wisconsin,5742117.0
Wyoming,579679.0
Puerto Rico,3583073.0
Alabama,4830620.0
Alaska,733375.0
Arizona,6641928.0
Arkansas,2958208.0
California,38421464.0
Colorado,5278906.0
Delaware,926454.0
District of Columbia,647484.0
Connecticut,3593222.0
Florida,19645772.0
Georgia,10006693.0
Idaho,1616547.0
Hawaii,1406299.0
Illinois,12873761.0
Indiana,6568645.0
Iowa,3093526.0
Kansas,2892987.0
Kentucky,4397353.0
Louisiana,4625253.0
Maine,1329100.0
Maryland,5930538.0
Massachusetts,6705586.0
Michigan,9900571.0
Minnesota,5419171.0
